utime,duration,size,umem,OutputPixels
19.093,95.739,37.101152,57.304,0.1728
2.356,279.335,1.962775,52.872,0.3072
4.14,1796.76,466.217205,61.676,0.025344
2.124,315.79,2.175037,53.444,0.9216
0.9,135.104,0.823122,53.968,0.025344
1.88,118.118,12.045057,54.396,0.0768
60.308,181.255,1.151493,649.804,2.0736
35.71,50.704,13.189861,55.308,0.9216
8.037,137.143,70.878806,70.812,0.3072
14.161,136.77,4.691778,90.052,0.1728
39.954,259.767,25.977476,97.984,2.0736
5.136,392.95,16.114802,59.38,0.025344
12.797,132,99.18054,124.004,2.0736
2.104,225.267,22.619648,58.296,0.3072
1.868,149.72166,8.340568,58.6,0.025344
1.504,58,6.111152,58.616,0.1728
0.944,163.93167,1.127451,59.512,0.025344
5.676,38.84,5.397407,60.344,0.0768
7.08,115.415,4.771578,71.732,0.0768
2.84,322.2,41.238157,65.2,0.9216
0.908,88.60667,0.619828,61.148,0.025344
1.948,328.52,25.662768,61.24,0.1728
1.98,430.92,12.488063,61.52,0.025344
6.452,939.455,317.213739,97.244,0.0768
1.62,67.708336,0.457772,62.08,0.0768
2.744,2069.2683,14.613241,62.368,0.025344
155.482,657.691,53.606727,646.728,2.0736
1.608,583.8417,3.953653,62.952,0.9216
2.916,123,0.840625,62.968,0.1728
3.432,42.967,1.886347,62.984,0.1728
19.145,201.165,19.100478,98.776,0.1728
5.06,548.415,31.352314,64.16,0.1728
2.472,95.495,0.87034,64.188,0.3072
6.24,144.614,7.044378,75.54,2.0736
4.796,129.696,6.941643,65.344,0.025344
4.008,279.36,17.732912,66.324,0.1728
18.649,469.933,13.196338,133.9,0.3072
4.7,222.205,30.107752,67.2,0.025344
3.7,215.16,5.103836,73.624,0.0768
13.133,90.023,5.536189,114.636,2.0736
4.664,71.638,2.25612,68.656,0.3072
15.057,270.83667,1.929214,87.204,2.0736
143.673,666.449,50.842699,647.7,2.0736
3.66,42.538334,0.264311,68.92,0.025344
3.644,80.966995,2.829109,68.952,0.025344
2.116,119.95333,0.768757,69.548,0.9216
9.609,105.62666,55.979284,102.416,0.3072
1.184,539.667,20.324796,70.796,0.0768
3.244,60.656,6.060824,71.1,0.025344
5.608,779,54.553016,71.368,0.0768
1.468,206.75,1.455124,71.392,0.0768
48.767,134.776,38.365135,101.788,2.0736
1.352,68.937,4.442309,74.692,0.0768
3.324,184.94667,12.468338,75.056,0.1728
30.822,49.345,18.407411,112.776,0.1728
2.544,604.506,27.657274,75.66,0.025344
3.404,302.975,15.511431,75.98,0.025344
3.812,67.466995,2.995074,75.992,0.025344
0.804,91.53167,0.608724,76.296,0.3072
4.012,195.009,9.758022,77.192,0.0768
9.613,32.522,10.125264,77.496,0.0768
6.264,193.21167,70.989005,78.036,0.1728
116.595,1648.509,400.631808,658.812,2.0736
16.205,68.466995,9.014106,116.572,2.0736
33.494,726.047,46.231421,320.016,0.9216
1.632,600.288,42.030197,78.964,0.3072
2.444,173.12666,1.133782,79.24,0.025344
3.616,67.96833,21.66207,79.544,0.0768
5.512,223.503,38.670999,79.828,0.1728
6.196,95.015,18.624888,80.208,0.3072
0.908,3115.303,53.38543,80.236,0.025344
9.837,97.941666,0.684235,95.14,0.1728
10.069,683.80334,301.927715,103.636,0.3072
2.6,84.833,3.389776,80.484,0.0768
15.837,84.567,2.94756,81.292,2.0736
1.936,408.875,40.239411,81.656,0.0768
0.472,330.09332,2.283228,81.968,0.0768
5.08,165.2,7.316332,99.504,0.1728
5.5,567.2167,16.655425,82.528,0.0768
54.375,441.866,6.669744,638.18,2.0736
4.336,203.2,25.610592,82.86,0.025344
16.533,120.106,7.656093,93.22,0.1728
3.436,272.96,7.953364,84.708,0.3072
2.688,1159.24,26.015847,84.72,0.0768
7.372,939.733,30.972075,85,0.9216
52.251,523.559,143.35411,662.828,2.0736
44.675,105.145,15.247162,85.876,0.9216
4.128,142.976,14.306688,85.884,0.0768
10.353,194.308,20.084816,86.108,0.3072
18.869,45.416668,0.286111,132.368,0.3072
5.304,102.05167,37.108981,86.364,0.1728
29.39,288.02,1.970383,87.26,2.0736
5.004,61.113335,16.732481,86.428,0.025344
2.084,525.18835,3.725483,86.688,0.1728
8.221,35.1,0.514311,86.956,0.9216
18.369,425.6,25.194494,102.024,0.1728
4.456,68.034996,2.342582,87.272,0.3072
10.913,1620.9384,11.465555,103.736,2.0736
15.781,77.36,7.743253,118.6,2.0736
1.552,972.271,33.886358,88.692,0.3072
3.076,294.61334,2.034411,88.736,0.025344
